path;title;type;audience;need;decision;priority;source;status;verification;content_review;follow_up_role;private
design-system.html;Design System — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;design-system.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
design-system/ds-accessibility.html;Vérifier l’accessibilité d’un écran;Article;Intervenants autorisés sur les supports Squared;Repérez les obstacles de lecture, de navigation et de compréhension avant la livraison.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
design-system/ds-colors.html;Utiliser les couleurs Squared;Article;Intervenants autorisés sur les supports Squared;Distinguez l’accent de marque, la sélection et les états fonctionnels.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
design-system/ds-components.html;Préparer un composant pour tous ses états;Article;Intervenants autorisés sur les supports Squared;Concevez l’action, la lecture et les cas d’erreur avant de multiplier les variantes.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
design-system/ds-foundations.html;Construire une interface cohérente;Article;Intervenants autorisés sur les supports Squared;Utilisez les fondations existantes avant de créer une nouvelle variante de composant.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
design-system/ds-motion.html;Utiliser le mouvement sans gêner l’action;Article;Intervenants autorisés sur les supports Squared;Donnez un rôle aux transitions et préservez une expérience compréhensible sans animation.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
design-system/ds-typography.html;Écrire et hiérarchiser les textes d’interface;Article;Intervenants autorisés sur les supports Squared;Conservez la voix Squared tout en rendant les titres, instructions et actions lisibles.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
development.html;Développement — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;development.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
development/dev-architecture.html;Identifier les responsabilités et les sources de données;Article;Intervenants autorisés sur les supports Squared;Évitez les copies divergentes et les dépendances invisibles entre modules.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
development/dev-git.html;Organiser les changements avec Git;Article;Intervenants autorisés sur les supports Squared;Gardez une histoire lisible et préservez les corrections réalisées par les autres intervenants.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
development/dev-overview.html;Préparer une modification de produit;Article;Intervenants autorisés sur les supports Squared;Reliez le code, les tests et la documentation à un besoin vérifiable.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
development/dev-release.html;Publier et vérifier une version;Article;Intervenants autorisés sur les supports Squared;Préparez le retour arrière et contrôlez le résultat réellement servi aux utilisateurs.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
development/dev-testing.html;Vérifier un changement et décrire ses limites;Article;Intervenants autorisés sur les supports Squared;Produisez des preuves adaptées au risque sans confondre simulation et test réel.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
diagnostic.html;Dépannage guidé — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;diagnostic.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
ecosysteme.html;Quel espace Squared utiliser ?;Article;Tous les membres;Choisissez le site adapté à votre objectif et évitez de confondre vos comptes, vos documents et vos formations.;Créer;P0;content/editorial/members.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
editorial.html;Édition des guides — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;editorial.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
faq.html;FAQ — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Compléter l’orientation;P0;faq.html;Généré;structure et liens;;Responsable du contenu / produit à attribuer;False
forgot-password.html;Mot de passe oublié — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;forgot-password.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
forum-new.html;Nouvelle discussion — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;forum-new.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
forum-topic.html;Discussion — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;forum-topic.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
forum.html;Forum — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;forum.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
getting-started.html;Bien démarrer avec le Help Center;Article;Membres du Help Center;Trouvez une réponse et choisissez le bon parcours sans connaître l’organisation interne de Squared.;Réécrire et compléter;P0;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
glossaire.html;Comprendre les mots utilisés chez Squared;Article;Tous les membres;Un vocabulaire commun pour distinguer les personnes, les espaces de travail, les documents et les décisions.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-acces-workspace.html;Je n’arrive pas à accéder à Workspace — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-acces-workspace.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-avant-publication.html;Vérifier une page avant publication — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-avant-publication.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-build-acces.html;Retrouver votre accès à une formation Build;Article;Apprenants de Squared Build;Vérifiez l’espace, le compte et les droits de la formation avant de recommencer un achat.;Créer;P0;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-build-carnet.html;Protéger et transférer votre carnet Build;Article;Apprenants de Squared Build;Comprenez ce qui reste dans votre navigateur et exportez une copie avant tout changement important.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-build-choisir.html;Choisir une formation dans Build;Article;Apprenants de Squared Build;Lisez le programme et distinguez un extrait, une formation disponible et un accès déjà accordé.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-build-depannage.html;Résoudre un problème dans Squared Build;Article;Apprenants de Squared Build;Isolez un problème de compte, de contenu ou de carnet avant de modifier vos données.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-build-lecture.html;Lire une leçon et suivre votre progression;Article;Apprenants de Squared Build;Utilisez le lecteur, les notes et le suivi de formation sans confondre progression et certification.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-contenus.html;Transmettre vos contenus et vos fichiers;Article;Clients;Envoyez les bons éléments dans le bon contexte, avec une version identifiable et sans exposer de données inutiles.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-demarrage.html;Préparer le démarrage de votre projet;Article;Clients;Rassemblez les informations utiles et clarifiez la prochaine étape avant le début de la production.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-livraison.html;Récupérer vos livrables à la fin du projet;Article;Clients;Contrôlez la remise, conservez les bonnes versions et identifiez les informations utiles après la livraison.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-modification.html;Demander une modification en cours de projet;Article;Clients;Présentez un nouveau besoin et faites confirmer son impact avant de le considérer comme intégré au projet.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-retours.html;Faire un retour sur une proposition;Article;Clients;Formulez des retours précis, regroupés et reliés à l’objectif du projet pour faciliter la prochaine révision.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-suivi.html;Obtenir de l’aide après la livraison;Article;Clients;Distinguez une difficulté d’utilisation, une anomalie et une demande d’évolution pour solliciter le bon accompagnement.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-client-validation.html;Valider une proposition ou un livrable;Article;Clients;Confirmez votre décision sur un élément précis, après contrôle de sa version et de son périmètre.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-blocage.html;Signaler un blocage ou un retard;Article;Collaborateurs;Prévenez dès que le résultat ou l’échéance est menacé, avec un état des lieux qui permet de décider.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-fichiers.html;Organiser les fichiers et les versions d’une mission;Article;Collaborateurs;Gardez une source identifiable et préparez des fichiers compréhensibles pour la personne qui reprendra le travail.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-fin-mission.html;Terminer une mission et transmettre la suite;Article;Collaborateurs;Clôturez le travail avec une remise vérifiable, des responsabilités explicites et une revue des accès nécessaires.;Créer;P1;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-mission.html;Comprendre une mission avant de commencer;Article;Collaborateurs;Vérifiez le résultat attendu, le périmètre et les critères de réussite avant de vous engager dans la production.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-premiers-pas.html;Vos premiers pas comme collaborateur Squared;Article;Collaborateurs;Rejoignez le bon périmètre, comprenez ce qui est attendu et commencez sans ouvrir inutilement les accès.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-collaborateur-validation.html;Remettre un travail pour validation;Article;Collaborateurs;Préparez une remise complète, contrôlée et facile à examiner, sans confondre terminé et validé.;Créer;P0;content/editorial/members.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-demande-support.html;Préparer une demande de support utile — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-demande-support.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-document-introuvable.html;Je ne retrouve pas un document ou un livrable — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-document-introuvable.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-help-communaute.html;Publier et suivre une discussion;Article;Membres du Help Center;Choisissez une catégorie, écrivez un message utile et distinguez discussion publique et assistance privée.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-help-compte.html;Gérer votre compte du Help Center;Article;Membres du Help Center;Modifiez les bonnes informations, contrôlez vos préférences et protégez vos données personnelles.;Créer;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-installation-workspace.html;Installer ou mettre à jour Workspace — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-installation-workspace.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-projet-invisible.html;Un projet ou une tâche n’apparaît pas — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-projet-invisible.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-wix-cms.html;Un contenu CMS ne s’affiche pas — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-wix-cms.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-wix-mobile.html;Une page Wix se décale sur mobile — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;guide-wix-mobile.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
guide-workspace-connexion-saisie.html;Préserver une saisie lorsque la connexion échoue;Article;Utilisateurs de Workspace web;Distinguez une saisie locale, un enregistrement confirmé et une liste qui n’a pas encore été actualisée.;Créer;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-workspace-fichier.html;Ajouter ou ouvrir un fichier dans Workspace;Article;Membres disposant des accès requis;Reliez le bon fichier au bon élément et vérifiez le transfert avant de supprimer une copie de travail.;Créer;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guide-workspace-validations.html;Examiner et valider un élément dans Workspace;Article;Membres autorisés à décider;Donnez une décision sur la bonne version, avec un commentaire utile et une confirmation vérifiable.;Créer;P0;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
guides.html;Guides pratiques — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Compléter l’orientation;P0;guides.html;Généré;structure et liens;;Responsable du contenu / produit à attribuer;False
incident.html;Détail incident — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;incident.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
incidents.html;Incidents — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;incidents.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
index.html;Centre d’aide — Squared Group;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Compléter l’orientation;P0;index.html;Généré;structure et liens;;Responsable du contenu / produit à attribuer;False
login.html;Connexion — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;login.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
moderation.html;Modération — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;moderation.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
my-activity.html;Mon activité — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;my-activity.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
my-tickets.html;Mes tickets — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;my-tickets.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
notification-settings.html;Notifications — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;notification-settings.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
notifications.html;Notifications — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;notifications.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
parcours.html;Votre point de départ — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Compléter l’orientation;P0;parcours.html;Généré;structure et liens;;Responsable du contenu / produit à attribuer;False
process.html;Process & Ops — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;process.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
profile.html;Mon compte — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;profile.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
quick-guides.html;Guides rapides — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;quick-guides.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
reset-password.html;Nouveau mot de passe — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;reset-password.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
scheduled-maintenance.html;Maintenance planifiée — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;scheduled-maintenance.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
search.html;Recherche — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;search.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
security.html;Sécurité — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;security.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
security/security-access.html;Demander et revoir les accès nécessaires;Article;Intervenants autorisés sur les supports Squared;Décrivez le besoin précis et gardez les opérations d’administration dans le bon périmètre.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
security/security-incidents.html;Signaler un incident de sécurité;Article;Intervenants autorisés sur les supports Squared;Préservez les faits utiles et faites intervenir les personnes habilitées sans aggraver l’exposition.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
security/security-overview.html;Protéger votre travail et votre compte;Article;Intervenants autorisés sur les supports Squared;Adoptez les bons réflexes sans transformer une difficulté d’accès en exposition de données.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
security/security-public-docs.html;Préparer un contenu pour une publication publique;Article;Intervenants autorisés sur les supports Squared;Vérifiez le texte, les captures, les liens et les exemples avant d’ajouter une page au Help Center.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
security/security-secrets.html;Manipuler les secrets sans les exposer;Article;Intervenants autorisés sur les supports Squared;Identifiez les valeurs sensibles et organisez leur changement sans les copier dans la documentation.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
server-status.html;États des serveurs — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;server-status.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
status.html;Statut — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;status.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
support-privacy.html;Comprendre la confidentialité du support;Article;Membres du Help Center;Partagez les informations nécessaires au diagnostic et gardez les secrets hors des échanges.;Réécrire et compléter;P1;content/editorial/help-build.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
support-ticket.html;Demande support — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;support-ticket.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
support.html;Support — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;support.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
wix-studio.html;Wix Studio — Squared Help Center · Squared Group;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;wix-studio.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
wix/wix-cms.html;Modifier un contenu CMS sans casser ses connexions;Article;Intervenants autorisés sur les supports Squared;Distinguez la valeur d’un champ de la structure qui alimente les pages.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-overview.html;Préparer une intervention dans Wix Studio;Article;Intervenants autorisés sur les supports Squared;Identifiez le site, la page et le niveau de risque avant de modifier un contenu.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-publishing.html;Publier une modification Wix avec ses vérifications;Article;Intervenants autorisés sur les supports Squared;Prévisualisez le parcours et contrôlez la page réellement servie après publication.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-responsive.html;Corriger une mise en page responsive;Article;Intervenants autorisés sur les supports Squared;Comprenez le conteneur et les adaptations existantes avant de déplacer les éléments.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-seo.html;Vérifier les informations de référencement d’une page;Article;Intervenants autorisés sur les supports Squared;Préparez des titres et des adresses cohérents sans modifier des liens publiés à l’aveugle.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-troubleshooting.html;Diagnostiquer un problème Wix Studio;Article;Intervenants autorisés sur les supports Squared;Isolez la cause probable avant de modifier la structure ou de restaurer une ancienne version.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
wix/wix-velo.html;Préparer une modification Velo ou de code;Article;Intervenants autorisés sur les supports Squared;Recherchez les dépendances avant de renommer un élément ou de changer une connexion.;Réécrire et compléter;P1;content/editorial/references.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace.html;Squared Workspace — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;workspace.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
workspace/workspace-account.html;Modifier votre profil et vos préférences;Article;Utilisateurs de Workspace web;Mettez à jour les informations du bon compte et vérifiez la confirmation de chaque action.;Réécrire et compléter;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-activation.html;Activer mon espace Workspace — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;workspace/workspace-activation.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
workspace/workspace-clients.html;Comprendre votre espace client;Article;Utilisateurs de Workspace web;Retrouvez les informations partagées pour votre projet et sachez quoi faire lorsqu’une action est attendue.;Réécrire et compléter;P0;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-collaborators.html;Travailler dans votre espace collaborateur;Article;Utilisateurs de Workspace web;Retrouvez votre mission, organisez vos actions et remettez un résultat exploitable.;Réécrire et compléter;P0;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-contracts.html;Consulter un contrat et identifier la bonne version;Article;Utilisateurs de Workspace web;Retrouvez le document autorisé sans confondre un fichier partagé, une validation de travail et une signature.;Réécrire et compléter;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-departments.html;Comprendre les pôles et la structure;Article;Utilisateurs de Workspace web;Utilisez les rattachements pour identifier les responsabilités, sans en déduire un statut ou des droits.;Réécrire et compléter;P1;content/editorial/workspace.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-documents.html;Je ne vois pas un document ou un livrable — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;workspace/workspace-documents.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
workspace/workspace-installation.html;Installer ou ouvrir Workspace — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;workspace/workspace-installation.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
workspace/workspace-invitations.html;Inviter un membre et suivre son accès;Article;Responsables d’accès habilités;Vérifiez le destinataire et le rôle avant d’envoyer une invitation, puis lisez son état réel.;Réécrire et compléter;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
workspace/workspace-login.html;Me connecter à Workspace — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;workspace/workspace-login.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
workspace/workspace-members.html;Comprendre les membres et leurs accès;Article;Responsables d’accès habilités;Distinguez une identité, un rôle et les droits effectifs avant de modifier un compte.;Réécrire et compléter;P1;content/editorial/workspace.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
